id,fecha,texto,likes,sentimiento,pred_hf
271,2026-03-16,Muchos éxitos chicos 👏👏👏❤️,2.0,,POS
272,2026-03-16,"Excelente, aunque me produce ambigüedad pues a veces son carne de cañón. Dios los cuide y proteja",,,NEG
273,2026-03-16,Mucho sacrificio para entrar .. solo un familiar de quien aingresa sabe de eso . La mejor suerte para todos y cada uno de los que ingresaron hoy .. ew una carrera larga que tiene sus momentos buenos y malos. pero es la mejor vocación que uno puede tener ..,49.0,,POS
274,2026-03-16,"Dios los cuide siempre futuros policías y bomberos, toda vocación de servicio habla de don de gente. Ojalá todos ustedes sean dignos de tan apreciada vocación. Éxitos",4.0,,POS
275,2026-03-16,Hasta formar esas filas no paro 😍👩🏻‍🚒,22.0,,NEG
276,2026-03-16,🙌,2.0,,NEU
277,2026-03-16,Exitos 🙌 el tiempo pasa 🙌,2.0,,NEU
278,2026-03-16,Orgullosa de Vos Hijo 💙 🇦🇷 Que sea un gran comienzo @to_romanokk,21.0,,POS
279,2026-03-16,👏👏👏👏👏,2.0,,NEU
280,2026-03-16,Mucha emoción ver a todos esos chic@s con sus bolsos preparados para hacer carrera y servir al pueblo!!!!,21.0,,POS
281,2026-03-16,👏👏👏👏 hermoso,1.0,,NEU
282,2026-03-16,"Yo me postule y todo y me mandaron a casa a esperar el medico .... jamas me llamaron .... era cierto que entran los acomodados por algun familiar de la fuerza ""apadrinados"" JAJAJAJAJAJA",,,NEU
283,2026-03-16,"Exitos y perseverancia para todos los aspirantes !!! Nunca voy a olvidar el día que ingresó mi hijo y el día que se recibieron 😭 cuánta emoción y orgullo de mi hijo y de todos, a los familiares les digo traten de no perderce nada y sobre todo apoyarlos que lo van a nesecitar!!!👏👏",6.0,,POS
284,2026-03-16,Por ahí anda mí sobri 😍😍😍,2.0,,POS
285,2026-03-16,Orgullosa de mi amor ❤️,3.0,,POS
286,2026-03-16,. .,,,NEU
287,2026-03-16,Todo lo mejor lo van a lograr,2.0,,POS
288,2026-03-16,Una pregunta no entiendo ellos son lo que recibieron el turno y que se tenía que presentar y presentar los papeles pero también se tenía q llevar bolso?? Pero bueno porque yo me tenía que presentar el 19 de febrero pero cancelé porque había paro general entonces tuve que pedirme otro turno,,,NEG
289,2026-03-16,Y algunos queriendo irse 😂,,,NEG
290,2026-03-16,todos con cara de guerra💂🏿,,,NEG
291,2026-03-16,Suerte 💪 a todos....,,,POS
292,2026-03-16,"Éxitos ,lo mejor para ustedes😊",,,POS
293,2026-03-16,Que Dios los cuide ❤️,,,POS
294,2026-03-16,"Mi hija entro hoy, que orgullo😍",21.0,,POS
295,2026-03-16,Te mando todas las fuerzas y abrazos y papá desde el cielo te guía mi hija 🙌 ❤️,10.0,,POS
296,2026-03-16,😢,,,NEU
297,2026-03-16,👏👏👏,,,NEU
298,2026-03-16,Muchos éxitos para todos los aspirantes!!,2.0,,POS
299,2026-03-16,Éxitos 🙌,1.0,,NEU
300,2026-03-16,EXITOS !!! A TODOS LOS ASPIRANTES!!!👏👏❤️❤️❤️❤️,2.0,,POS
301,2026-03-16,Buen inicio para todos👏🏻👏🏻👏🏻 !!!,1.0,,POS
302,2026-03-16,💙💙💙💙👮🏻‍♀️👮🏻👮🏻‍♀️👏🏼👏🏼👏🏼👏🏼👏🏼🙌🏻,1.0,,NEU
303,2026-03-16,❤️❤️👏🏻👏🏻👏🏻👏🏻👏🏻🙌🏻,1.0,,NEU
304,2026-03-16,"Éxito hijo , mamá siempre con vos ,orgullosa que logres tu sueño ❤️",6.0,,POS
305,2026-03-16,Me acuerdo ese primer día tenía unos nervios. En 2 días cumplo 5 años perteneciendo a la fuerza. 🙌,40.0,,NEU
306,2026-03-16,Mi hijo está ahí. Orgullosa de el.,11.0,,POS
307,2026-03-16,Éxitos mí Marian ❤️,1.0,,POS
308,2026-03-16,Sras sin aritos en las orejas 😮 ni invisibles.,1.0,,NEU
309,2026-03-16,Hola hasta cuando están abiertas las inscripciones?,,,NEU
310,2026-03-16,😍😍😍que lindo por dios....orgullo de tener a mi hijo en esta nueva etapa....suerte .,24.0,,POS
311,2026-03-16,"Bienvenidos, les deseo el mejor de los éxitos.",153.0,,POS
312,2026-03-16,Éxitos @lolioyeniyi te espero acá amor ❤️,6.0,,POS
313,2026-03-16,@yayi_soledad 🥹,3.0,,NEU
314,2026-03-16,"Exitos a todos! Gracias por las imágenes, hacen que los extrañemos un poquito menos ❤️‍🩹 Orgullosa de mi amor!",11.0,,POS
315,2026-03-16,QUE HERMOSO MOMENTO ! 🙌 #INOLVIDABLE Que Dios los proteja siempre y que el servicio los cruce con excelentes compañeros y jefes 🙏🙏,1.0,,POS
316,2026-03-16,👏👏👏👏👏,1.0,,NEU
317,2026-03-16,Exitos para todos en esta nueva etapa 🙌🏻👏🏻,8.0,,POS
318,2026-03-16,"👏 exitos para todos los aspirantes a Bomberos, en especial a mi hijo Enzo por intentarlo....Dios y la vida dirá ... mucha fuerza. te vamos a extrañar pero estamos felices por éste desafio personal. 💪🏻💜😌",13.0,,POS
319,2026-03-16,Orgullo nacional 👏👏 Mucha Suerte a todos!,6.0,,POS
320,2026-03-16,El primer día es el más difícil de todos…. Después todo es hermoso! Los mejores recuerdos y también los más complicados. Muchos éxitos para los nuevos cadetes ❤️🙌,10.0,,POS
321,2026-03-16,"PRESENTEEEEEEEEEEE , como no me recibieron jajaja",2.0,,NEU
322,2026-03-16,vamos ahí está mi hermana orgullosa de ella,8.0,,POS
323,2026-03-16,Felicidades a todos ojalá pueda ingresar para próximo año,3.0,,POS
324,2026-03-16,Exito para todos.. 🙌,4.0,,POS
325,2026-03-16,Muchos Éxitos a todos!!!❤️,3.0,,POS
326,2026-03-16,Éxitos 🙌,4.0,,NEU
327,2026-03-16,Hace un año ingresaba mi hijo y hoy veo ingresar a mi sobrina 😍❤️,16.0,,NEU
328,2026-03-16,Hoy ingreso mi horgullosa de vos mi vida Dios los bendigaija h,9.0,,POS
329,2026-03-16,Falta energía Ibarra jaja 👏👏👏,7.0,,NEU
330,2026-03-16,"En esta no se pudo pero en la próxima a darlo todo, felicidades a todos❤️🙌",13.0,,POS
331,2026-03-16,Algún día seré unos de ellos si dios quiere 🍀🤞🏽❤️,10.0,,POS
332,2026-03-16,Suerte mi futuro bombero @mati_beniteeez te amo,6.0,,POS
333,2026-03-16,"buena suerte a todos, y nos vemos dentro en el 2027 para los que entran el año que viene!",7.0,,POS
334,2026-03-16,Muy bien disciplina 👏 lo mejor que pudieron hacer jóvenes a estudiar y servir al pais👏,17.0,,POS
335,2026-03-16,Exitos a los aspirantes.. ya con entrar en la institución es un orgullo ❤️,13.0,,POS
336,2026-03-16,👏👏👏👏,3.0,,NEU
337,2026-03-16,Buena suerte cadetes!!!❤️,5.0,,POS
338,2026-03-16,Si dios quiere algún día yo estaré ahí!🙌❤️,10.0,,POS
339,2026-03-16,👏👏👏👏👏👮,5.0,,NEU
340,2026-03-16,Si Dios quiere en algún momento estaré ahí 🙏❤️,4.0,,POS
341,2026-03-16,Éxito ❤️,3.0,,POS
342,2026-03-16,Éxitos hermano 🩵,6.0,,POS
343,2026-03-16,Éxitos a todos los ingresantes!!!! Es una gran experiencia...para aprender....y poder formar parte de esa gran familia.,6.0,,POS
344,2026-03-16,@iaraaa._5 esa mi amiga ❤️ orgullosa de vos ❤️🙌,4.0,,POS
345,2026-03-16,Que lindooo que emoción y nervios para los chicos /as fuerza a triunfar felicitaciones 👏,9.0,,POS
346,2026-03-16,Lo recuerdo como si hubiera sido ayer ❤️😢,9.0,,NEU
347,2026-03-16,Éxitos a cada uno de los aspirantes!! A darlo todo!!!👏👏👏,7.0,,POS
348,2026-03-16,Cuántos días son la adaptación ahora ?,3.0,,NEU
349,2026-03-16,Aún guardo ese recuerdo hijo❤️@_.videla21._,4.0,,NEU
350,2026-03-16,En proceso de descenso de peso para poder entrar 👊,10.0,,NEU
351,2026-03-16,👏👏👏👏,3.0,,NEU
352,2026-03-16,Si dios quiere el año que viene voy a estar ahi yo 🤞,52.0,,POS
353,2026-03-16,❤️suerte para nuestros hombres y mujeres del futuro👏❤️,42.0,,POS
354,2026-03-16,"Si dios quiere, dentro de poco sere uno de ellos🙌🏻❤️",87.0,,POS
355,2026-04-06,Dan verguenza todos acomodados..3 años esta intentando entrar y gracias a dios nunca dejo la carrera militar un año mas y ya recibe de oficial mientras ustedes juegan con los jovenes con vocacion..en 20 dias no queda 1 ahi😂😂😂,,,NEG
356,2026-03-30,Efeseos 4:30 ser enemigo de tu novio interior es peligroso,,,NEG
357,2026-03-16,PARA GOLPEAR JUBILADOS,,,NEG
358,2026-03-16,ESTUDIÁ NO SEAS MILICO,,,NEG
359,2026-03-16,"El 1er día , mano en la nunca abajooo , arribaaaa... Falta orden cerrado ahí... Que no les queden ganas de hacer tik tok después, faltando el respeto al uniforme.",,,NEG
